name company,location,links
Artificial Intelligence (AI) Engineer,"Riyadh, Saudi Arabia ",/jobs/p/DH9EDOqivogn-Artificial-Intelligence-AI-Engineer-Riyadh-Saudi-Arabia?o=1&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
BI / AI / Sales Account Manager ( KSA ),"Mokattam, Cairo, Egypt ",/jobs/p/SGezh2PB4ELb-BI-AI-Sales-Account-Manager-KSA-Alkan-CIT-Cairo-Egypt?o=2&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
C++ Software Engineer,"Dokki, Giza, Egypt ",/jobs/p/esD1Ob7gVDj8-C-Software-Engineer-360Imaging-Giza-Egypt?o=3&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Data Science Instructor,"Nasr City, Cairo, Egypt ",/jobs/p/6EdqURmRczoK-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=4&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Pre Sales Engineer,"Dokki, Giza, Egypt ",/jobs/p/Z7syrM0pS3E4-Pre-Sales-Engineer-RDI-Giza-Egypt?o=5&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
C++ / QT Software Engineer,"Cairo, Egypt ",/jobs/p/8obw1oisqwKY-C-QT-Software-Engineer-Atomica-Cairo-Egypt?o=6&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Senior Frontend Engineer,"Mohandessin, Giza, Egypt ",/jobs/p/OQL5MntF8dOk-Senior-Frontend-Engineer-LxT-Giza-Egypt?o=7&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Senior Backend Engineer,"Mohandessin, Giza, Egypt ",/jobs/p/UMsxtdDfJgta-Senior-Backend-Engineer-LxT-Giza-Egypt?o=8&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
C++ Senior Developer,"Maadi, Cairo, Egypt ",/jobs/p/wH59PnPuF8Pg-C-Senior-Developer-TensorGraph-Cairo-Egypt?o=9&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
C++ Computer Graphics Engineer,"Cairo, Egypt ",/jobs/p/HLvmX3yUzdg2-C-Computer-Graphics-Engineer-Atomica-Cairo-Egypt?o=10&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Senior C++ Software Developer,"Cairo, Egypt ",/jobs/p/oguf9nA5ux2T-Senior-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=11&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Senior Full Stack Developer,"Heliopolis, Cairo, Egypt ",/jobs/p/pGDmZqGrStaN-Senior-Full-Stack-Developer-Fotopia-Cairo-Egypt?o=12&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Enterprise Security Architect,"Mohandessin, Giza, Egypt ",/jobs/p/6v2zojhNPdu0-Enterprise-Security-Architect-LxT-Giza-Egypt?o=13&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Laravel Developer,"Heliopolis, Cairo, Egypt ",/jobs/p/9r35lak7p9Rv-Laravel-Developer-34ML-Cairo-Egypt?o=14&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
Product Designer - UI/UX,"Cairo, Egypt ",/jobs/p/HWrU628H4P6n-Product-Designer---UIUX-Atomica-Cairo-Egypt?o=15&l=sp&t=sj&a=ai engineer|search-v3|hpb|spbg
